id,type,seed_type,mean_length,mean_width,mean_area,stddev_length_mm,stddev_width_mm,stddev_area_mms,seeds_in_sample,sample_weight_g,thousand_weight_g,mean_circularity,mean_lw_ratio,datetime
4298,Thlaspi arvense,wildtype,1.950159570817685,1.5068194389030667,2.055071530596696,0.11748510898876091,0.10542667080750112,0.2516801405865039,532,0.603,1.1334586466165413,1.1799185903190306,1.2965893161217346,2021-06-19T14:23:00Z
4299,Thlaspi arvense,wildtype,1.8578288993744503,1.449943901457874,1.8739575473279642,0.0875893284094074,0.0876252506985722,0.17532882807159447,609,0.633,1.0394088669950738,1.1749734308668995,1.284087331296286,2021-06-19T14:25:00Z
4300,Thlaspi arvense,wildtype,1.8686824601696106,1.444915491152496,1.8793823979306064,0.08735699267002352,0.07535590660887227,0.15785127205009053,845,0.837,0.9905325443786982,1.1779235614914587,1.295050297220033,2021-06-19T14:26:00Z
4301,Thlaspi arvense,wildtype,1.8934041459638054,1.4685218618736957,1.9351719174287576,0.11004676406742436,0.09282046241149815,0.21097740872491247,418,0.429,1.0263157894736843,1.1784537562404795,1.2916616833405483,2021-06-19T14:27:00Z
4302,Thlaspi arvense,wildtype,1.7023511962580558,1.344828784311818,1.5920177516711744,0.1174027407424533,0.10132685271873944,0.21573808838758715,162,0.137,0.845679012345679,1.1702789855859534,1.2682481701678354,2021-06-19T14:30:00Z
4303,Thlaspi arvense,wildtype,1.7907466241433987,1.3727104969260944,1.6989097883064601,0.09529689487307834,0.0852258729401754,0.1735041314078958,1455,1.28,0.8797250859106529,1.195728898579629,1.3082261668317894,2021-06-19T14:31:00Z
4304,Thlaspi arvense,wildtype,1.7574748510434066,1.349093140733264,1.6362560239908126,0.10441264301086829,0.08656098031182227,0.18130233072399898,1380,1.112,0.8057971014492754,1.1941710647982313,1.3055058957510641,2021-06-19T14:34:00Z
4305,Thlaspi arvense,wildtype,1.7817557078023938,1.3789121246673282,1.6998993497819328,0.10837647310054979,0.08599112503291086,0.19086244842436095,1347,1.192,0.8849294729027468,1.1874882618855662,1.2943373301773295,2021-06-19T14:37:00Z
4306,Thlaspi arvense,mutant 11B,1.7892444147284243,1.398249309114938,1.7392603050113233,0.12079856326202625,0.095215291324843,0.22353320267755933,520,0.463,0.8903846153846153,1.1758352043392208,1.2813120886470755,2021-06-19T14:39:00Z
4307,Thlaspi arvense,mutant 11B,1.9219129260900418,1.492058401074773,1.999179337979542,0.1015281929035,0.08605130192692176,0.19485205378998396,617,0.67,1.0858995137763372,1.1739034281267793,1.2898867669012912,2021-06-19T14:41:00Z
4308,Thlaspi arvense,mutant 11B,1.8862415286360448,1.474351310385658,1.939330189740339,0.09190126349586498,0.08554155506681084,0.19213473926062227,650,0.691,1.063076923076923,1.177311019144467,1.2816686672004678,2021-06-19T14:42:00Z
4309,Thlaspi arvense,mutant 11B,1.8101657766706933,1.4100306466128694,1.7721961521967315,0.10201006473177436,0.0871263543073605,0.18871304419906185,869,0.823,0.9470655926352128,1.1783048538607208,1.2862030792158696,2021-06-19T14:44:00Z
4310,Thlaspi arvense,mutant 11B,1.8604387397530158,1.4579108009162103,1.8793180092589257,0.1403086575707832,0.0985997307596975,0.2238180856991141,664,0.691,1.0406626506024097,1.1835139831419197,1.2817659045298273,2021-06-19T14:46:00Z
4311,Thlaspi arvense,mutant 11B,1.8931584472686798,1.48540680989064,1.9670897487858607,0.09411975220272624,0.08740034183571066,0.19632280280115358,490,0.537,1.0959183673469388,1.170301777443425,1.2765027923928587,2021-06-19T14:49:00Z
4312,Thlaspi arvense,mutant 11B,1.8853920268253175,1.471514706457534,1.9367866159098621,0.09099265863814851,0.08378416076055928,0.1755850402981191,424,0.445,1.0495283018867925,1.1731927865037288,1.2834863748899181,2021-06-19T14:50:00Z
4313,Thlaspi arvense,mutant 11B,1.84033664967379,1.4461187006165517,1.8506618058711084,0.10157232174040598,0.09035266590924494,0.20189075191729647,863,0.864,1.0011587485515643,1.175562656968435,1.2748057964573984,2021-06-19T14:52:00Z
