id,type,seeds_in_sample,sample_weight_g,thousand_weight_g,mean_area,mean_width,mean_length,mean_circularity,mean_lw_ratio,datetime,seed_type
4298,Thlaspi arvense,532,0.603,1.1334586466165413,2.055071530596696,1.5068194389030667,1.950159570817685,1.1799185903190306,1.2965893161217346,2021-06-19T14:23:00Z,wildtype
4299,Thlaspi arvense,609,0.633,1.0394088669950738,1.8739575473279642,1.449943901457874,1.8578288993744503,1.1749734308668995,1.284087331296286,2021-06-19T14:25:00Z,wildtype
4300,Thlaspi arvense,845,0.837,0.9905325443786982,1.8793823979306064,1.444915491152496,1.8686824601696106,1.1779235614914587,1.295050297220033,2021-06-19T14:26:00Z,wildtype
4301,Thlaspi arvense,418,0.429,1.0263157894736843,1.9351719174287576,1.4685218618736957,1.8934041459638054,1.1784537562404795,1.2916616833405483,2021-06-19T14:27:00Z,wildtype
4302,Thlaspi arvense,162,0.137,0.845679012345679,1.5920177516711744,1.344828784311818,1.7023511962580558,1.1702789855859534,1.2682481701678354,2021-06-19T14:30:00Z,wildtype
4303,Thlaspi arvense,1455,1.28,0.8797250859106529,1.6989097883064601,1.3727104969260944,1.7907466241433987,1.195728898579629,1.3082261668317894,2021-06-19T14:31:00Z,wildtype
4304,Thlaspi arvense,1380,1.112,0.8057971014492754,1.6362560239908126,1.349093140733264,1.7574748510434066,1.1941710647982313,1.3055058957510641,2021-06-19T14:34:00Z,wildtype
4305,Thlaspi arvense,1347,1.192,0.8849294729027468,1.6998993497819328,1.3789121246673282,1.7817557078023938,1.1874882618855662,1.2943373301773295,2021-06-19T14:37:00Z,wildtype
4306,Thlaspi arvense,520,0.463,0.8903846153846153,1.7392603050113233,1.398249309114938,1.7892444147284243,1.1758352043392208,1.2813120886470755,2021-06-19T14:39:00Z,mutant 11B
4307,Thlaspi arvense,617,0.67,1.0858995137763372,1.999179337979542,1.492058401074773,1.9219129260900418,1.1739034281267793,1.2898867669012912,2021-06-19T14:41:00Z,mutant 11B
4308,Thlaspi arvense,650,0.691,1.063076923076923,1.939330189740339,1.474351310385658,1.8862415286360448,1.177311019144467,1.2816686672004678,2021-06-19T14:42:00Z,mutant 11B
4309,Thlaspi arvense,869,0.823,0.9470655926352128,1.7721961521967315,1.4100306466128694,1.8101657766706933,1.1783048538607208,1.2862030792158696,2021-06-19T14:44:00Z,mutant 11B
4310,Thlaspi arvense,664,0.691,1.0406626506024097,1.8793180092589257,1.4579108009162103,1.8604387397530158,1.1835139831419197,1.2817659045298273,2021-06-19T14:46:00Z,mutant 11B
4311,Thlaspi arvense,490,0.537,1.0959183673469388,1.9670897487858607,1.48540680989064,1.8931584472686798,1.170301777443425,1.2765027923928587,2021-06-19T14:49:00Z,mutant 11B
4312,Thlaspi arvense,424,0.445,1.0495283018867925,1.9367866159098621,1.471514706457534,1.8853920268253175,1.1731927865037288,1.2834863748899181,2021-06-19T14:50:00Z,mutant 11B
